Date,Sentiment
2022-05-09,-0.2829501235909091
2022-05-10,-0.08734642363333334
2022-05-11,-0.18526795129166665
2022-05-12,-0.09733228298333332
2022-05-13,-0.0310427735
2022-05-14,0.26397748
2022-05-15,-0.03332341
2022-05-16,-0.08386127636666667
2022-05-17,0.10922049547294117
2022-05-18,-0.05595828291666666
2022-05-19,-0.28238990873500003
2022-05-20,-0.0936520772105263
2022-05-21,-0.3185914125
2022-05-22,0.29216696
2022-05-23,0.13902785432777778
2022-05-24,-0.07432132765416667
2022-05-25,0.07842892362500001
2022-05-26,-0.49163669674999994
2022-05-27,-0.1616484974210526
2022-05-28,-0.5336795975999999
2022-05-29,0.06416671
2022-05-30,0.13098066952380952
2022-05-31,0.15895273853846154
2022-06-01,-0.1440402965909091
2022-06-02,-0.15943880783333333
2022-06-03,-0.16943282485714284
2022-06-04,-0.9390547499999999
2022-06-05,-0.28999877008571423
2022-06-06,0.07298181545
2022-06-07,-0.12058099736538462
2022-06-08,0.1111264028
2022-06-09,-0.14374754031277778
2022-06-10,-0.00496851865217391
2022-06-11,-0.337127425
2022-06-12,-0.11364225028571427
2022-06-13,-0.20308613733333333
2022-06-14,-0.44952816953124997
2022-06-15,0.0029748829230769216
2022-06-16,-0.050136591099999996
2022-06-17,0.026426025521739126
2022-06-18,-0.044884933
2022-06-19,-0.026795065000000007
2022-06-20,-0.10381488978571429
2022-06-21,-0.33960942745238093
2022-06-22,-0.17132299395652173
2022-06-23,-0.34796587860869566
2022-06-24,-0.019448888811111124
2022-06-25,-0.41340905850000004
2022-06-26,0.24780291666666668
2022-06-27,0.2245319202
2022-06-28,-0.16153582311764705
2022-06-29,-0.1389121490869565
2022-06-30,-0.18093802860454547
2022-07-01,-0.06453709254166666
2022-07-02,-0.3317949482857143
2022-07-03,0.16346921295
2022-07-04,-0.15709526615
2022-07-05,-0.2019447842608696
2022-07-06,-0.11425580666666667
2022-07-07,-0.021911014338181826
2022-07-08,0.20494144011363638
2022-07-09,0.019722926666666665
2022-07-10,-0.18696253142857142
2022-07-11,-0.09390144133125
2022-07-12,-0.30253773582352944
2022-07-13,-0.1901640312105263
2022-07-14,-0.026613056999999992
2022-07-15,0.008250311733333338
2022-07-16,-0.13278144885714285
2022-07-17,0.24010671257142854
2022-07-18,-0.0801352014318182
2022-07-19,0.06758552352941176
2022-07-20,0.3928694616111111
2022-07-21,0.08433058933181818
2022-07-22,-0.04289576455333335
2022-07-23,0.432213425
2022-07-24,0.08771997199999998
2022-07-25,-0.3543455814625
2022-07-26,-0.1799213505263158
2022-07-27,0.0819826412142857
2022-07-28,0.06013674384210527
2022-07-29,0.005112223187500008
2022-07-30,0.24300383250000002
2022-07-31,-0.04079834059999998
2022-08-01,0.21187281071333336
2022-08-02,-0.11330327411764707
2022-08-03,-0.12324566976190476
2022-08-04,0.03680178908333333
2022-08-05,-0.039561886333333324
2022-08-06,-0.2528444854857143
2022-08-07,-0.126980319025
2022-08-08,-0.09611389899999999
2022-08-09,0.16723912781818182
2022-08-10,0.07081002623076922
2022-08-11,0.11167700746874999
2022-08-12,0.08306838142857143
2022-08-13,0.2841916171428572
2022-08-14,-0.8967189
2022-08-15,-0.15655127021428572
2022-08-16,-0.2175944595
2022-08-17,-0.19574259705
2022-08-18,-0.14606293946153848
2022-08-19,-0.30057181454545456
2022-08-20,0.09556855999999998
2022-08-21,0.12124711966666668
2022-08-22,-0.320496778625
2022-08-23,-0.20027464061904762
2022-08-24,-0.03558067021764705
2022-08-25,0.0021526861333333257
2022-08-26,-0.1947214181894737
2022-08-27,-0.6990860839999999
2022-08-28,0.0631269375
2022-08-29,-0.0754628823368421
2022-08-30,0.0036076978571428614
2022-08-31,-0.0179531834
2022-09-01,-0.3435016861333333
2022-09-02,0.12246855498823528
2022-09-03,-0.115754961
2022-09-04,0.43631929249999996
2022-09-05,0.2406882987272727
2022-09-06,-0.09112963660000001
2022-09-07,-0.25115222857894737
2022-09-08,-0.025920267106666662
2022-09-09,-0.07185570042857144
2022-09-10,-0.05040831203333335
2022-09-11,0.426556142
2022-09-12,0.026118666814285704
2022-09-13,-0.11410111595238097
2022-09-14,-0.41475569307692306
2022-09-15,-0.019561041669230762
2022-09-16,0.0449350113125
2022-09-17,-0.15792870656666666
2022-09-18,0.26570558133333333
2022-09-19,-0.40588686766666665
2022-09-20,0.03910286937500001
2022-09-21,0.08931354213043478
2022-09-22,-0.07509683246153848
2022-09-23,-0.23537740697692305
2022-09-24,0.21411471666666668
2022-09-25,0.175404485
2022-09-26,-0.13340804766923076
2022-09-27,-0.13235129790000003
2022-09-28,-0.0027695064444444337
2022-09-29,-0.2394124102888235
2022-09-30,-0.193948087175
2022-10-01,0.05290885750000002
2022-10-02,-0.3234895446666667
2022-10-03,0.09761619812500001
2022-10-04,-0.04870270531249999
2022-10-05,0.15423434047727272
2022-10-06,0.0558975759175
2022-10-07,-0.0408386799375
2022-10-08,0.0012914254000000013
2022-10-09,0.02495711400000003
2022-10-10,-0.0042705233499999995
2022-10-11,-0.28184522198235296
2022-10-12,0.13762470414285716
2022-10-13,-0.1551079265625
2022-10-14,0.17970267105263157
2022-10-15,-0.4099372018333333
2022-10-16,-0.28010054666666667
2022-10-17,-0.036333152238095225
2022-10-18,-0.020925387095238085
2022-10-19,-0.020241093777777764
2022-10-20,-0.17172390952941177
2022-10-21,-0.18914326571428572
2022-10-22,-0.11485826111111111
2022-10-23,-0.029997076777777767
2022-10-24,-0.2516000732894737
2022-10-25,0.03527276714347825
2022-10-26,0.03523259761904762
2022-10-27,-0.18284379472727272
2022-10-28,-0.2809109730625
2022-10-29,0.17003336666666669
